Region,Year,Scenario,SSP,WACC,Tech,Bound
R12_AFR,2020,High_ICF_coc,SSP1,0.09955627158966499,solar,mean
R12_CHN,2020,High_ICF_coc,SSP1,0.04564778346435897,solar,mean
R12_EEU,2020,High_ICF_coc,SSP1,0.08070231310834594,solar,mean
R12_FSU,2020,High_ICF_coc,SSP1,0.1019407514531971,solar,mean
R12_LAM,2020,High_ICF_coc,SSP1,0.09498600444227703,solar,mean
R12_MEA,2020,High_ICF_coc,SSP1,0.09569228565346527,solar,mean
R12_NAM,2020,High_ICF_coc,SSP1,0.0567210593625498,solar,mean
R12_PAO,2020,High_ICF_coc,SSP1,0.04805030849988514,solar,mean
R12_PAS,2020,High_ICF_coc,SSP1,0.07858999559813629,solar,mean
R12_RCPA,2020,High_ICF_coc,SSP1,0.09785508671861687,solar,mean
R12_SAS,2020,High_ICF_coc,SSP1,0.09730782822530164,solar,mean
R12_WEU,2020,High_ICF_coc,SSP1,0.05897989486579485,solar,mean
R12_AFR,2025,High_ICF_coc,SSP1,0.07402449267579828,solar,mean
R12_AFR,2030,High_ICF_coc,SSP1,0.04258478907272317,solar,mean
R12_AFR,2035,High_ICF_coc,SSP1,0.02852430819996137,solar,mean
R12_AFR,2040,High_ICF_coc,SSP1,0.020519374483208175,solar,mean
R12_AFR,2045,High_ICF_coc,SSP1,0.015073184115431758,solar,mean
R12_AFR,2050,High_ICF_coc,SSP1,0.011053188796383166,solar,mean
R12_AFR,2055,High_ICF_coc,SSP1,0.010890741134656856,solar,mean
R12_AFR,2060,High_ICF_coc,SSP1,0.010702743776639894,solar,mean
R12_AFR,2065,High_ICF_coc,SSP1,0.010507273801150798,solar,mean
R12_AFR,2070,High_ICF_coc,SSP1,0.010315648113515765,solar,mean
R12_AFR,2075,High_ICF_coc,SSP1,0.010163528125840902,solar,mean
R12_AFR,2080,High_ICF_coc,SSP1,0.010013651971001968,solar,mean
R12_AFR,2085,High_ICF_coc,SSP1,0.00986498150172652,solar,mean
R12_AFR,2090,High_ICF_coc,SSP1,0.009718518386442285,solar,mean
R12_AFR,2095,High_ICF_coc,SSP1,0.009575148378333792,solar,mean
R12_AFR,2100,High_ICF_coc,SSP1,0.009433893917752761,solar,mean
R12_CHN,2025,High_ICF_coc,SSP1,0.039110944760377415,solar,mean
R12_CHN,2030,High_ICF_coc,SSP1,0.0323355719626113,solar,mean
R12_CHN,2035,High_ICF_coc,SSP1,0.025742880935074645,solar,mean
R12_CHN,2040,High_ICF_coc,SSP1,0.021946349492681153,solar,mean
